ft_hosp,hosp_code
"Barking, Havering & Redbridge University Hospitals NHS Trust",371
Queen's Hospital,371
queen's hospital,371
Queens Hospital - Romford,371
Queen's Hospital Romford,371
"Queen's Hospital, Romford",371
Raigmore,372
Raigmore Hospital,372
"Raigmore Hospital, Inverness",372
RJAH,374
RJAH Orthopedic Hospital NHS Trust,374
Robert Jones & Agnes Hunt Orthopaedic Hospital,374
The Robert Jones and Agnes Hunt NHS trust,374
Royal Blackburn,375
Royal Bournemouth,376
Royal Bournemouth NHS Trust,376
Royal Brompton,377
Royal GLamorgan,378
Royal Glamorgan Hospital,378
Royal Lancaster Infimary,379
Royal Lancaster Infirmary,379
Royal Marsden,380
Royal Marsden hospital,380
The Royal Marsden Hospital,380
RNOH,381
Royal National Orthopaedic Hospital,381
Royal Orthopaedic Hospital Birmingham,382
Royal Papworth,383
Royal Papworth Hospital,383
"Princess Royal Hospital, Shrewsbury and Telford Hospitals NHS Trust",384
Royal shrewsbury,384
Royal Shrewsbury and Telford NHS trust,384
Royal Shrewsbury Hospital,384
Russell's hall hospiral,385
Russells Hall Hospital,385
Russell's Hall Hospital,385
"Russells Hall Hospital, Dudley",385
Scunthorpe General hospital,386
Scunthorpe General Hospital,386
Scunthorpe hospitality,386
Sherwood Forest nhs trust,387
Southend,388
Southend University Hospital,388
St Bartholomew's,389
St Bartholomew's Hospital,389
St Bartholomew's Hospital London,389
St Bartholomew's London,389
St. Bartholomew's Hospital,389
Imperial NHS Trust,392
"St. Mary's Hospital, Imperial College Healthcare NHS Trust",392
Tameside and Glossop,393
Tameside General,393
The Royal Oldham Hospital,398
University Hospitals of Morecambe Bay Foundation trust,399
The Walton centre,400
Walton centre,400
warrington,401
Warrington and Halton hospitals nhs trust,401
Warrington and Halton Teaching Hospitals NHS Foundation Trust,401
Wasall Manor Hospital (Walsall Healthcare NHs Trustg),402
West cumberland hospital,403
West Cumberland hospital,403
West Suffolk,405
"West suffolk ,Bury St Edmunds",405
West Suffolk Hospital,405
West Suffolk hospital,405
Western General Edinburgh,406
Western General Hospital Edinburgh,406
Western general hospital edinburgh,406
Weston general hospital,406
Weston General Hospital,406
Wirral University Teaching Hospital,407
Wirral University Trust Hospital,407
WUTH,407
Worcester,408
Worcester acute hospitals nhs trust,408
Worcester Royal,408
Worcester Royal Hospital,408
Worcestershire Acute,408
worcestershire Acute Hospitals,408
Worcestershire Acute Hospitals,408
Worcestershire Acute Hospitals NHS Trust,408
Worcestershire Acute Hospitals Trust,408
Worcestershire Acute nhs trust,408
Worcestershire Acute Trust,408
Worcestershire Royal Hospital,408
Worthing Hospital,294
Wrightington Wigan and Leigh NHS Foundation Trust,410
Wycombe Hospital Buckinghamshire NHS Trust,411
Ysbyty Gwynedd,412
Hairmyres Hospital,413
"Hairmyres Hospital, East Kilbride, Glasgow",413
University Hospital Hairmyres,413
University hospital Hairmyres,413
University hospital hairmyres,413
University Hospital Hairmyres. NHSL,413
Ashford & St Peter's Hospital,414
Ashford and St Peter's Hospitals NHS Foundation Trust,414
"Ashford, St Peter's Hospital",414
"St Peter's, Chertsey (Ashford and St Peter's Trust)",414
singleton hospital,415
Victoria Hospital kirkcaldy,416
Victoria Hospital Kirkcaldy,416
"Victoria Hospital, NHS Fife",416
24doc,0
Bantry General Hospital,2056
BSH,2061
Coombe,2051
"Eastern Health, Melbourne Australia",0
"John Hunter Hospital, NSW Australia",0
Midland regional Mullingar,2052
Midlands Regional Hospital Mullingar,2052
National ambulance service,0
National Maternity Hospital,2054
NMH,2054
"Pilgrim hospital,ULHT",0
"raigmore, inverness",0
Royal Victoria Eye and Ear Hospital,2057
Shaukat Khanum memorial cancer hospital and research centre,0
SIVUH,2058
Southampton General Hospital,2058
Uhw,2028
UK hospital,0
University Hospital Limerick,2027
Urgent care centre connolly,2060
X,0
