name,vartype,n,n_missing,pct_missing,pval_0s0,pval_s0s1,pval_s0s2,pval_s1s2,R2nakagawa.marg_0,R2nakagawa.cond_0,R2cor.marg_0,R2cor.cond_0,R2xu.marg_0,R2xu.cond_0,R2nakagawa.marg_1,R2nakagawa.cond_1,R2cor.marg_1,R2cor.cond_1,R2xu.marg_1,R2xu.cond_1,R2nakagawa.marg_2,R2nakagawa.cond_2,R2cor.marg_2,R2cor.cond_2,R2xu.marg_2,R2xu.cond_2
How was the care for patients not presenting with COVID-19 related symptoms?,professional,8689,195,0.02194957226474561,4.425466665467126e-17,5.540432643749982e-33,2.1973137212913152e-31,0.013688339568377674,0.004134475911635123,0.5358194669234055,0.004337535025693471,0.6983211879203156,0.004335257756283628,0.6602128100276676,0.0206008793545239,0.5331681496714298,0.03478615270663356,0.6976489793367915,0.03287411373895943,0.661266181498803,0.0217758011298907,0.533838695300359,0.08739858160662325,0.6983147111631349,0.034476989057639296,0.6621535306914896
Perceived risk to health due to clinical role,professional,8690,194,0.021837010355695633,2.92647691773311e-17,1.2501509585282827e-39,1.2593706552420248e-35,0.351611061089707,0.0041839771545525975,0.5354430822533935,0.004375530703064599,0.6978527211644318,0.004373580379120279,0.6596522179161812,0.023995011778286654,0.5285623894722076,0.04549312949356774,0.6953494139191373,0.04193688054663702,0.6590328881489433,0.02462460524271111,0.5286631641893644,0.11206260322459075,0.6956195169246712,0.04284982107976709,0.6593634975086187
Worried about risks if I am infected with COVID-19,personal,8685,199,0.02239981990094552,2.1097028003788165e-17,5.141950686737227e-74,1.9868336794675452e-73,2.2415991486917928e-4,0.004220551561865512,0.5358008418751099,0.004432596722124652,0.6981459385343343,0.004430216883589688,0.6599824692974865,0.04817383159150538,0.5230001197884084,0.0802635335343292,0.6915469401661266,0.07579675311888356,0.6567037459436951,0.04964582943098264,0.5243518992067058,0.19769463644228757,0.6927475674327384,0.07807123580471953,0.6582780127280223
Worried about risks if I infect family with COVID-19,personal,8688,196,0.022062134173795586,4.7662452133610745e-17,1.172355818297343e-87,3.36215380537287e-84,0.024765319772377118,0.004132389080570292,0.5352028620560493,0.004306750456025843,0.6977739475683871,0.004305118573419198,0.6595098987097745,0.057018242245130316,0.519857412848008,0.09397051358206078,0.6894606526402433,0.08884111664753847,0.6551119000439577,0.057908191511713385,0.5215613899698053,0.22519704127259135,0.6906553755867574,0.08919898942131987,0.6565337217899512
Gender,personal,8610,274,0.03084196307969383,5.637718345924629e-18,5.300302936600484e-20,2.59529488309295e-17,0.8166993696665199,0.004401831614499708,0.532583599466763,0.004527410590843776,0.6933817455401091,0.004526583224290559,0.6559452427261547,0.024732138508204656,0.5327928041200767,0.024864928029769133,0.6914180922090486,0.02486483020047381,0.6548288799962064,0.02480917608495797,0.5327016416516831,0.06085487215588267,0.6914963108475076,0.024943236133910585,0.654884477641183
Ethnicity,personal,8684,200,0.0225123818099955,1.1078647718610265e-17,8.089074663463192e-4,0.031448923749046225,0.6683040729714509,0.004319602930885586,0.5291924592881034,0.0044329206060622845,0.6912311245127759,0.004432208859739828,0.6532105244836445,0.013675807629364597,0.5310381237138443,0.013665507041810626,0.6903601867592191,0.013665420584343169,0.6531395496395581,0.015282765290092743,0.5315517086896704,0.0375070078303644,0.6918049295801121,0.015318683577803527,0.6546839596345633
Ethnicity,personal,8559,325,0.036582620441242684,1.3284834455623945e-17,0.02184715915829284,0.025932568287507993,0.15228884741233817,0.004336914048286399,0.5320584914189632,0.004449621817911213,0.6931706384787266,0.0044489245996843785,0.6556738513738996,0.00611520400828109,0.5322897015259457,0.006194041425137317,0.6930099558107481,0.006193824641466672,0.6556331689450676,0.006485447366039985,0.5325756886409545,0.016124019631579115,0.693323367984644,0.006593773606135556,0.6560139914021066
Seniority,professional,8884,0,0,1.175172602332507e-17,0.08855029438466484,0.10455190895790872,0.2376781138210637,0.00419069490789918,0.5319140573723914,0.004313396561664157,0.6930128053591953,0.004312547587488669,0.6554815572670352,0.005636852509994539,0.5322572653344714,0.00566762908079523,0.6928920791910896,0.005667604755276945,0.6554922546469459,0.006064145308100532,0.5325366944306911,0.014971061068290202,0.6932594113878501,0.006120472113684827,0.6559228023024439
Department,professional,8884,0,0,1.175172602332507e-17,5.844641265356273e-4,2.418888540924716e-5,0.0031531231720692697,0.00419069490789918,0.5319140573723914,0.004313396561664157,0.6930128053591953,0.004312547587488669,0.6554815572670352,0.008602109922589342,0.5323803747724444,0.008588133459604592,0.6926165258750525,0.008588111697269696,0.6553554472665776,0.00982531743698886,0.5337451340198895,0.024019246803489595,0.6937065488340993,0.00985790623504157,0.6567455659391233
Region,professional,8884,0,0,1.175172602332507e-17,2.9661069981823304e-5,7.564358894691964e-5,0.06662908750045311,0.00419069490789918,0.5319140573723914,0.004313396561664157,0.6930128053591953,0.004312547587488669,0.6554815572670352,0.013990392816254669,0.5332690238295053,0.014138018505561104,0.6920952199368082,0.014137845892559286,0.6552585599732649,0.015988307693816584,0.5348311824628244,0.039168957749066355,0.693881415671209,0.016139337164820633,0.6573670902759625
Any previous outbreak experience,professional,8697,187,0.02104907699234579,1.9839101008261554e-17,0.17163321588915023,0.21577422765187043,0.273540004278597,0.0042283721031316866,0.5313986234134885,0.004327281354383486,0.6927500770510238,0.00432672946673851,0.6551302554859294,0.004660021535292765,0.5315023668931521,0.0047820031789925065,0.6927078452377626,0.004781253216128656,0.6551292059575899,0.004799641209568499,0.5315751913126721,0.012130240592458786,0.6928225640678332,0.004945129361099254,0.6552634265691865
Any training for PPE donning and doffing,professional,8791,93,0.010468257541647907,1.1288459920240159e-17,0.001107674160725778,0.007546676335203405,0.5182884028662836,0.0042280081893193286,0.5325247507140216,0.004461137318181867,0.6931325890816579,0.004458039471838426,0.655910057917388,0.006635648426116775,0.5326592474059922,0.0067583875808884634,0.6929213136971129,0.006757856270519391,0.6558174226990003,0.006707537867540815,0.5326854539965733,0.0166196075061993,0.6929970803799714,0.006803667725500118,0.6558927713639214
Any training for fit testing for mask,professional,8761,123,0.01384511481314723,9.387365726373227e-18,0.014275356265612221,0.05648688735259541,0.4634026967250742,0.004257733814156369,0.5330309461284005,0.004480960844461246,0.6934141947128911,0.004478148018252526,0.6562914088255045,0.005629007105760273,0.533140863755551,0.005833275733587945,0.6932886362681775,0.005831514269078464,0.6562424732922942,0.005708835507313452,0.5331310412947986,0.014476934081646164,0.693353141992517,0.005931477924407957,0.6563076293337908
Any training for exposure to aerosol generating procedure,professional,8751,133,0.014970733903647006,3.123427919182106e-18,9.548896228124281e-5,5.861649440391568e-4,0.3377449911971837,0.0043958108619606955,0.5316908969776555,0.004633139757983449,0.6925620317432576,0.004630048456888858,0.6551911354464924,0.007871013370125093,0.5318497727424254,0.00791336294969628,0.6922567412462656,0.00791331679491969,0.6550472609193874,0.007993430430669005,0.5319151014613229,0.019653260658202668,0.6923608671544862,0.008030287715120266,0.655164306053764
Practical education for COVID-19 care,professional,8720,164,0.01846015308419631,1.8804435755626723e-17,0.01953897916117368,0.0013368425119956028,0.00610115743406884,0.0042069061740972,0.5325174996677078,0.00443678521528178,0.6931534397719622,0.004433759047506869,0.6559165775031548,0.005463176603795577,0.5326545303338835,0.005595757707314205,0.6930487424057383,0.005594998181215449,0.6558857260411854,0.006020428810945373,0.5332956529593162,0.015158789362752275,0.6935115331576772,0.006215046383389877,0.6564992441791788
Concern that COVID-19 will increase symptoms of a medical condition,personal,8592,292,0.03286807744259343,6.670876024499802e-18,4.2339271659036277e-17,1.8434304807936862e-22,4.955432087605913e-8,0.004441434329374559,0.5322561437376999,0.004720402089069991,0.6966756177053716,0.0047167850788313315,0.6568604040446863,0.011437997364979174,0.5254198136424586,0.025291933651140183,0.6938946128460276,0.022540922990085033,0.6546201522556057,0.01388661934021911,0.5242595510817183,0.08014441210492115,0.693706680993022,0.028451345058006616,0.6548204200924821
Concern that COVID-19 will increase symptoms of a mental health condition,personal,8579,305,0.03433138226024313,1.2004944889908134e-17,1.333108180439032e-51,4.797222366817241e-66,1.3507208064613642e-17,0.004383829509553723,0.532511379135469,0.004615149439325171,0.6966198683857693,0.004612809820681796,0.6567030055583216,0.03097104988671443,0.5186354307508955,0.0625206810664565,0.690188301963071,0.056762417420971434,0.652425878712279,0.0378493695449332,0.5213671554791363,0.1746621048645771,0.6918795153667713,0.06594831670663093,0.6552326922433211
Experience of previous significant trauma,personal,8702,182,0.020486267447095904,8.7951123934711965e-017,2.2812789093497146e-16,3.17624810085977e-17,0.0018478731461508131,0.004072342439814366,0.5299046281903628,0.004128767593134195,0.6913700285302212,0.004128583343140924,0.653633203854168,0.019287631160047586,0.5300336658609008,0.01923682650670648,0.6899114307285948,0.019236776892704643,0.6528124322731135,0.0199807522570171,0.530892702245544,0.04893399621601122,0.6905073140778429,0.019971930992504494,0.6536014100742205
