Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
grade_2,cera_survey_1,,radio,"What is your gender?
","1, Male | 2, Female | 3, Other | 4, Prefer not to say",,,,,y,,,,,,,
grade_3,cera_survey_1,,radio,How old are you?,"1, 20-25 | 2, 26-30 | 3, 31-35 | 4, 36-40 | 5, 41-45 | 6, 46-50 | 7, 51-55 | 8, 56-60 | 9, 61-65 | 10, 66-70 | 11, >70",,,,,y,,,,,,,
what_is_your_parent_specia,cera_survey_1,,radio,What is your 'parent speciality'?,"1, Emergency Medicine | 2, Anaesthetics | 3, Intensive Care Medicine | 9, Paediatrics | 4, General Practice | 5, Surgery | 6, Foundation Programme | 7, Acute Internal Medicine | 8, Other",,,,,,,,,,,, @HIDDEN-SURVEY
parent_specia2,cera_survey_1,,checkbox,What is your 'parent speciality'?,"1, Emergency Medicine | 2, Anaesthetics | 3, Intensive Care Medicine | 9, Paediatrics | 4, General Practice | 5, Surgery | 6, Foundation Programme | 7, Acute Internal Medicine | 8, Other",,,,,,,,,,,,
other_training,cera_survey_1,,text,"You have selected other, please specify.",,,,,,,[what_is_your_parent_specia] = '8' or [parent_specia2(8)]=1,,,,,,
ward,cera_survey_1,,radio,"<div class=""rich-text-field-label""><p>In what Department were you working as of <span style=""color: #ff0000;"">March 1st 2020?</span></p></div>","1, Emergency Department (adult or paediatric) | 2, Anaesthetic Department (adult or paediatric) | 3, Intensive Care Department (adult or paediatric) | 5, Acute Medical Unit | 6, Hospital ward (adult or paediatric) | 4, Other",,,,,,,,,,,, @HIDDEN-SURVEY
ward_2,cera_survey_1,,checkbox,"<div class=""rich-text-field-label""><p>In what Department were you working as of <span style=""color: #ff0000;"">March 1st 2020?</span></p> <p><span style=""color: #000000;"">Select all that apply</span></p></div>","1, Emergency Department (adult or paediatric) | 2, Anaesthetic Department (adult or paediatric) | 3, Intensive Care Department (adult or paediatric) | 5, Acute Medical Unit | 6, Hospital ward (adult or paediatric) | 4, Other",,,,,,,,,,,,
in_what_department_were_yo,cera_survey_1,,text,"<div class=""rich-text-field-label""><p>You selected other, in which Department where you working as of <span style=""color: #ff0000;"">March 1st 2020?</span></p></div>",,,,,,,[ward] = '4' or [ward_2(4)] = 1,,,,,,
have_you_been_deployed_to,cera_survey_1,,yesno,"Have you been deployed to a <font color=""red"">different <font color=""black""> clinical area as a result of the COVID-19 outbreak?",,,,,,,,,,,,,
re_deployed,cera_survey_1,,radio,Where have you been redeployed to?,"1, Emergency Department (adult or paediatric) | 2, Anaesthetic Department (adult or paediatric) | 3, Intensive Care Department (adult or paediatric) | 5, Acute Medical Unit | 6, Hospital ward (adult or paediatric) | 4, Other",,,,,,[have_you_been_deployed_to] = '1',,,,,,
other_please_specify,cera_survey_1,,text,"You have selected other, please specify.",,,,,,,[have_you_been_deployed_to] = '1' and [re_deployed] = '4',,RH,,,,
how_happy_are_you_with_thi,cera_survey_1,,radio,"How satisfied are you with this redeployment?

","1, Very dissatisfied | 2, Somewhat dissatisfied | 5, Neither satisfied nor dissatisfied | 3, Somewhat satisfied | 4, Very satisfied",,,,,,[have_you_been_deployed_to] = '1',,,,,,
grade_4,cera_survey_1,,checkbox,Have you previously provided direct clinical care to any patients affected by these infectious disease outbreaks? (please select all that apply),"0, None of the below | 4, Ebola virus | 10, MERS-CoV | 16, SARS | 1, Chikungunya | 2, Cholera | 6, Influenza (swine, avian, zoonotic) | 20, Zika virus | 21, Other",,,,,y,,,,,,,
other_please_enter_below,cera_survey_1,,text,"You have selected other, please specify.",,,,,,,[grade_4(21)] = '1',,,,,,
gh12_conc,cera_survey_1,"<div class=""rich-text-field-label""><p>We should like to know if you have had any medical complaints, and how your health has been in general, <em>over the past few weeks. </em><br /><br />Please answer ALL the questions simply by selecting the answer which you think most nearly applies to you. Remember that we want to know about present and recent complaints, not those you had in the past. It is important that you try to answer ALL the questions.</p></div>",radio,Been able to concentrate on whatever you're doing?,"1, Better than usual | 2, Same as usual | 3, Less than usual | 4, Much less than usual",,,,,,,,,,,,
gh12_sleep,cera_survey_1,,radio,Lost much sleep over worry?,"1, Not at all | 2, No more than usual | 3, Rather more than usual | 4, Much more than usual",,,,,,,,,,,,
ghq_use,cera_survey_1,,radio,Felt that you are playing a useful part in things?,"1, More so than usual | 2, Same as usual | 3, Less useful than usual | 4, Much less useful",,,,,,,,,,,,
felt_capable_of_making_dec,cera_survey_1,,radio,Felt capable of making decisions about things?,"1, More so than usual | 2, Same as usual | 3, Less so than usual | 4, Much less capable",,,,,,,,,,,,
ghqstrain,cera_survey_1,,radio,Felt constantly under strain?,"1, Not at all | 2, No more than usual | 3, Rather more than usual | 4, Much more than usual",,,,,,,,,,,,
ghqdiff,cera_survey_1,,radio,Felt you couldn't overcome your difficulties?,"1, Not at all | 2, No more than usual | 3, Rather more than usual | 4, Much more than usual",,,,,,,,,,,,
ghqday,cera_survey_1,,radio,Been able to enjoy your normal day-to-day activities?,"1, More so than usual | 2, Same as usual | 3, Less so than usual | 4, Much less than usual",,,,,,,,,,,,
been_able_to_face_up_to_yo,cera_survey_1,,radio,Been able to face up to your problems?,"1, More so than usual | 2, Same as usual | 3, Less able than usual | 4, Much less able",,,,,,,,,,,,
been_feeling_unhappy_and_d,cera_survey_1,,radio,Been feeling unhappy and depressed?,"1, Not at all | 2, No more than usual | 3, Rather more than usual | 4, Much more than usual",,,,,,,,,,,,
been_losing_confidence_in,cera_survey_1,,radio,Been losing confidence in yourself?,"1, Not at all | 2, No more than usual | 3, Rather more than usual | 4, Much more than usual",,,,,,,,,,,,
been_thinking_of_yourself,cera_survey_1,,radio,Been thinking of yourself as a worthless person?,"1, Not at all | 2, No more than usual | 3, Rather more than usual | 4, Much more than usual",,,,,,,,,,,,
been_feeling_reasonably_ha,cera_survey_1,,radio,"Been feeling reasonably happy, all things considered?","1, More so than usual | 2, About the same as usual | 3, Less so than usual | 4, Much less than usual",,,,,,,,,,,,
for_the_above_12_questions,cera_survey_1,,descriptive,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">For the above 12 questions the following applies: </span><span style=""font-weight: normal;"">All rights reserved. This work may not be reproduced by any means, even within the terms of a Photocopying Licence, without the written permission of the publisher. Photocopying without permission may result in legal action. Published by GL Assessment Limited 1st Floor Vantage London, Great West Road, Brentford TW8 9AG This edition published 1992.</span> <span style=""font-weight: normal;"">GL Assessment is part of GL Education. <a href=""http://www.gl-assessment.co.uk"">www.gl-assessment.co.uk</a>. </span><span style=""font-weight: normal; font-size: 8pt; font-family: 'Times New Roman,Bold';"">David Goldberg, 1978 </span><strong style=""font-family: Calibri, sans-serif; font-size: 14.666666984558105px;"">General Health Questionnaire© (GHQ12)</strong><span style=""font-weight: normal; font-family: Calibri, sans-serif; font-size: 14.666666984558105px;"">.</span></p></div>",,,,,,,,,,,,,
donning_and_doffing,cera_survey_1,"Personal Protective Equipment (PPE) and General Training


What training have you received in regards to personal protective equipment (PPE) since the COVID-19 outbreak was declared? (select all that apply)",checkbox,"Donning and doffing (gloves, gown, facemask, eye protection)","1, No training | 2, Formal instructional video | 3, Written instruction | 4, Simulation training | 5, Departmental guidance | 6, Other",,,,,,,,,,ppe,,
